fecha_evaluacion,horizonte,modelo,fecha_emision,valor_predicho,valor_real,error,h_adelanto_h
2026-08-17T05:53:39Z,2026-08-15T10:00:00Z,v1,2026-08-15T05:44:24Z,30900.263888888887,32099.5,1199.2361111111131,4.26
2026-08-17T05:53:39Z,2026-08-15T11:00:00Z,v1,2026-08-15T05:44:24Z,30900.263888888887,33081.0,2180.736111111113,5.26
2026-08-17T05:53:39Z,2026-08-15T12:00:00Z,v1,2026-08-15T05:44:24Z,30900.263888888887,33947.166666666664,3046.9027777777774,6.26
2026-08-17T05:53:39Z,2026-08-15T13:00:00Z,v1,2026-08-15T05:44:24Z,30900.263888888887,33398.416666666664,2498.1527777777774,7.26
2026-08-17T05:53:39Z,2026-08-15T14:00:00Z,v1,2026-08-15T05:44:24Z,30900.263888888887,32897.416666666664,1997.1527777777774,8.26
2026-08-17T05:53:39Z,2026-08-15T15:00:00Z,v1,2026-08-15T05:44:24Z,30900.263888888887,32649.083333333332,1748.8194444444453,9.26
2026-08-17T05:53:39Z,2026-08-15T16:00:00Z,v1,2026-08-15T05:44:24Z,30900.263888888887,32138.416666666668,1238.152777777781,10.26
2026-08-17T05:53:39Z,2026-08-15T17:00:00Z,v1,2026-08-15T05:44:24Z,31198.095238095237,31397.5,199.4047619047633,11.26
2026-08-17T05:53:39Z,2026-08-15T18:00:00Z,v1,2026-08-15T05:44:24Z,31695.620370370376,30500.916666666668,-1194.703703703708,12.26
2026-08-17T05:53:39Z,2026-08-15T19:00:00Z,v1,2026-08-15T05:44:24Z,30725.393333333333,30451.916666666668,-273.47666666666555,13.26
2026-08-17T05:53:39Z,2026-08-15T20:00:00Z,v1,2026-08-15T05:44:24Z,30444.380208333336,29406.833333333332,-1037.5468750000036,14.26
2026-08-17T05:53:39Z,2026-08-15T21:00:00Z,v1,2026-08-15T05:44:24Z,27902.041666666668,27654.333333333332,-247.70833333333576,15.26
2026-08-17T05:53:39Z,2026-08-15T22:00:00Z,v1,2026-08-16T05:46:24Z,28410.166666666664,25958.5,-2451.6666666666642,-7.77
2026-08-17T05:53:39Z,2026-08-15T23:00:00Z,v1,2026-08-16T05:46:24Z,26579.88333333333,24476.333333333332,-2103.5499999999993,-6.77
2026-08-17T05:53:39Z,2026-08-16T00:00:00Z,v1,2026-08-16T05:46:24Z,24742.05855855856,23514.166666666668,-1227.8918918918935,-5.77
2026-08-17T05:53:39Z,2026-08-16T01:00:00Z,v1,2026-08-16T05:46:24Z,24013.23611111111,22712.0,-1301.2361111111095,-4.77
2026-08-17T05:53:39Z,2026-08-16T02:00:00Z,v1,2026-08-16T05:46:24Z,22562.451388888887,22143.083333333332,-419.36805555555475,-3.77
2026-08-17T05:53:39Z,2026-08-16T03:00:00Z,v1,2026-08-16T05:46:24Z,22242.064814814818,21853.0,-389.0648148148175,-2.77
2026-08-17T05:53:39Z,2026-08-16T04:00:00Z,v1,2026-08-16T05:46:24Z,21345.666666666668,21981.25,635.5833333333321,-1.77
2026-08-17T05:53:39Z,2026-08-16T05:00:00Z,v1,2026-08-16T05:46:24Z,21504.21666666666,22105.333333333332,601.1166666666722,-0.77
2026-08-17T05:53:39Z,2026-08-16T06:00:00Z,v1,2026-08-16T05:46:24Z,22098.380630630632,22966.75,868.3693693693676,0.23
2026-08-17T05:53:39Z,2026-08-16T07:00:00Z,v1,2026-08-16T05:46:24Z,23566.864583333332,25447.75,1880.8854166666679,1.23
2026-08-17T05:53:39Z,2026-08-16T08:00:00Z,v1,2026-08-16T05:46:24Z,25681.25641025641,27448.166666666668,1766.9102564102577,2.23
2026-08-17T05:53:39Z,2026-08-16T09:00:00Z,v1,2026-08-16T05:46:24Z,27630.175141242933,28601.083333333332,970.9081920903991,3.23
2026-08-17T05:53:39Z,2026-08-16T10:00:00Z,v1,2026-08-16T05:46:24Z,27630.175141242933,29692.5,2062.324858757067,4.23
2026-08-17T05:53:39Z,2026-08-16T11:00:00Z,v1,2026-08-16T05:46:24Z,28002.186708860758,30761.416666666668,2759.22995780591,5.23
2026-08-17T05:53:39Z,2026-08-16T12:00:00Z,v1,2026-08-16T05:46:24Z,28002.186708860758,31654.0,3651.813291139242,6.23
2026-08-17T05:53:39Z,2026-08-16T13:00:00Z,v1,2026-08-16T05:46:24Z,28002.186708860758,31422.25,3420.063291139242,7.23
2026-08-17T05:53:39Z,2026-08-16T14:00:00Z,v1,2026-08-16T05:46:24Z,28002.186708860758,31218.416666666668,3216.22995780591,8.23
2026-08-17T05:53:39Z,2026-08-16T15:00:00Z,v1,2026-08-16T05:46:24Z,29030.462962962964,31674.25,2643.7870370370365,9.23
2026-08-17T05:53:39Z,2026-08-16T16:00:00Z,v1,2026-08-16T05:46:24Z,27630.175141242933,32151.583333333332,4521.408192090399,10.23
2026-08-17T05:53:39Z,2026-08-16T17:00:00Z,v1,2026-08-16T05:46:24Z,29308.404761904763,31938.916666666668,2630.5119047619046,11.23
2026-08-17T05:53:39Z,2026-08-16T18:00:00Z,v1,2026-08-16T05:46:24Z,29291.55859375,30938.666666666668,1647.1080729166679,12.23
2026-08-17T05:53:39Z,2026-08-16T19:00:00Z,v1,2026-08-16T05:46:24Z,29291.55859375,31333.583333333332,2042.0247395833321,13.23
2026-08-17T05:53:39Z,2026-08-16T20:00:00Z,v1,2026-08-16T05:46:24Z,28214.896103896117,30730.5,2515.603896103883,14.23
2026-08-17T05:53:39Z,2026-08-16T21:00:00Z,v1,2026-08-16T05:46:24Z,28214.896103896117,28911.333333333332,696.4372294372151,15.23
2026-08-17T05:53:39Z,2026-08-16T22:00:00Z,v1,2026-08-17T05:53:37Z,25923.52205882353,27135.5,1211.9779411764684,-7.89
2026-08-17T05:53:39Z,2026-08-16T23:00:00Z,v1,2026-08-17T05:53:37Z,25186.250000000004,25461.583333333332,275.3333333333285,-6.89
2026-08-17T05:53:39Z,2026-08-17T00:00:00Z,v1,2026-08-17T05:53:37Z,23698.24930555555,24315.75,617.5006944444503,-5.89
2026-08-17T05:53:39Z,2026-08-17T01:00:00Z,v1,2026-08-17T05:53:37Z,23136.737719298242,23678.666666666668,541.9289473684257,-4.89
2026-08-17T05:53:39Z,2026-08-17T02:00:00Z,v1,2026-08-17T05:53:37Z,22612.067762399074,23336.75,724.6822376009259,-3.89
2026-08-17T05:53:39Z,2026-08-17T03:00:00Z,v1,2026-08-17T05:53:37Z,22002.289825046042,23422.5,1420.210174953958,-2.89
2026-08-17T05:53:39Z,2026-08-17T04:00:00Z,v1,2026-08-17T05:53:37Z,23368.833333333336,25309.75,1940.9166666666642,-1.89
2026-08-18T05:47:43Z,2026-08-17T05:00:00Z,v1,2026-08-17T05:53:37Z,27077.20222222222,27625.833333333332,548.6311111111136,-0.89
2026-08-18T05:47:43Z,2026-08-17T06:00:00Z,v1,2026-08-17T05:53:37Z,30035.622126436723,29774.083333333332,-261.5387931033911,0.11
2026-08-18T05:47:43Z,2026-08-17T07:00:00Z,v1,2026-08-17T05:53:37Z,30035.622126436723,32790.666666666664,2755.044540229941,1.11
2026-08-18T05:47:43Z,2026-08-17T08:00:00Z,v1,2026-08-17T05:53:37Z,28105.59813084114,35041.0,6935.401869158861,2.11
2026-08-18T05:47:43Z,2026-08-17T09:00:00Z,v1,2026-08-17T05:53:37Z,28666.151851851853,36351.666666666664,7685.514814814811,3.11
2026-08-18T05:47:43Z,2026-08-17T10:00:00Z,v1,2026-08-17T05:53:37Z,29731.08442982456,37462.666666666664,7731.582236842103,4.11
2026-08-18T05:47:43Z,2026-08-17T11:00:00Z,v1,2026-08-17T05:53:37Z,30895.812903225808,38778.5,7882.6870967741925,5.11
2026-08-18T05:47:43Z,2026-08-17T12:00:00Z,v1,2026-08-17T05:53:37Z,31757.472222222223,39591.0,7833.527777777777,6.11
2026-08-18T05:47:43Z,2026-08-17T13:00:00Z,v1,2026-08-17T05:53:37Z,31484.805925925928,39177.833333333336,7693.027407407408,7.11
2026-08-18T05:47:43Z,2026-08-17T14:00:00Z,v1,2026-08-17T05:53:37Z,31180.8153153153,38579.75,7398.9346846847,8.11
2026-08-18T05:47:43Z,2026-08-17T15:00:00Z,v1,2026-08-17T05:53:37Z,31757.472222222223,38697.75,6940.277777777777,9.11
2026-08-18T05:47:43Z,2026-08-17T16:00:00Z,v1,2026-08-17T05:53:37Z,31757.472222222223,38453.0,6695.527777777777,10.11
2026-08-18T05:47:43Z,2026-08-17T17:00:00Z,v1,2026-08-17T05:53:37Z,31757.472222222223,37540.333333333336,5782.861111111113,11.11
2026-08-18T05:47:43Z,2026-08-17T18:00:00Z,v1,2026-08-17T05:53:37Z,30839.346774193542,36139.666666666664,5300.319892473122,12.11
2026-08-18T05:47:43Z,2026-08-17T19:00:00Z,v1,2026-08-17T05:53:37Z,31484.805925925928,35794.666666666664,4309.860740740736,13.11
2026-08-18T05:47:43Z,2026-08-17T20:00:00Z,v1,2026-08-17T05:53:37Z,30839.346774193542,33964.0,3124.653225806458,14.11
2026-08-18T05:47:43Z,2026-08-17T21:00:00Z,v1,2026-08-17T05:53:37Z,29352.746438746435,31435.416666666668,2082.6702279202327,15.11
2026-08-18T05:47:43Z,2026-08-17T22:00:00Z,v1,2026-08-18T05:47:41Z,27477.171568627444,29264.5,1787.3284313725562,-7.79
2026-08-18T05:47:43Z,2026-08-17T23:00:00Z,v1,2026-08-18T05:47:41Z,25580.964285714286,27304.166666666668,1723.2023809523816,-6.79
2026-08-18T05:47:43Z,2026-08-18T00:00:00Z,v1,2026-08-18T05:47:41Z,24476.489130434788,25967.416666666668,1490.9275362318804,-5.79
2026-08-18T05:47:43Z,2026-08-18T01:00:00Z,v1,2026-08-18T05:47:41Z,24036.30911680912,25243.916666666668,1207.6075498575483,-4.79
2026-08-18T05:47:43Z,2026-08-18T02:00:00Z,v1,2026-08-18T05:47:41Z,23910.14791666667,24784.916666666668,874.7687499999993,-3.79
2026-08-18T05:47:43Z,2026-08-18T03:00:00Z,v1,2026-08-18T05:47:41Z,23950.986111111113,24924.75,973.7638888888869,-2.79
2026-08-18T05:47:43Z,2026-08-18T04:00:00Z,v1,2026-08-18T05:47:41Z,25600.041666666668,26551.416666666668,951.375,-1.79
2026-08-19T05:49:17Z,2026-08-18T05:00:00Z,v1,2026-08-18T05:47:41Z,28105.59813084114,28557.833333333332,452.2352024921929,-0.79
2026-08-19T05:49:17Z,2026-08-18T06:00:00Z,v1,2026-08-18T05:47:41Z,29731.08442982456,30607.583333333332,876.498903508771,0.21
2026-08-19T05:49:17Z,2026-08-18T07:00:00Z,v1,2026-08-18T05:47:41Z,32581.762605042022,33651.25,1069.4873949579778,1.21
2026-08-19T05:49:17Z,2026-08-18T08:00:00Z,v1,2026-08-18T05:47:41Z,34935.64761904763,35964.333333333336,1028.6857142857043,2.21
2026-08-19T05:49:17Z,2026-08-18T09:00:00Z,v1,2026-08-18T05:47:41Z,35903.558333333334,37375.083333333336,1471.5250000000015,3.21
2026-08-19T05:49:17Z,2026-08-18T10:00:00Z,v1,2026-08-18T05:47:41Z,37499.822916666664,38343.083333333336,843.2604166666715,4.21
2026-08-19T05:49:17Z,2026-08-18T11:00:00Z,v1,2026-08-18T05:47:41Z,37834.73148148148,39653.0,1818.2685185185182,5.21
2026-08-19T05:49:17Z,2026-08-18T12:00:00Z,v1,2026-08-18T05:47:41Z,38861.1,40273.416666666664,1412.3166666666657,6.21
2026-08-19T05:49:17Z,2026-08-18T13:00:00Z,v1,2026-08-18T05:47:41Z,38861.1,39623.166666666664,762.0666666666657,7.21
