fecha_emision,horizonte,valor_predicho,ancla_ultimo_dia_real,modelo
2026-08-12T10:49:44Z,2026-08-11T22:00:00Z,28946.71791862285,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-11T23:00:00Z,27293.54901960784,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T00:00:00Z,26599.6875,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T01:00:00Z,24887.289215686276,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T02:00:00Z,25223.163636363635,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T03:00:00Z,25223.163636363635,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T04:00:00Z,26541.82833333334,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T05:00:00Z,28508.70101781169,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T06:00:00Z,30432.375555555547,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T07:00:00Z,32579.825,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T08:00:00Z,35071.06201550387,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T09:00:00Z,35903.558333333334,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T10:00:00Z,36656.29761904762,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T11:00:00Z,37834.73148148148,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T12:00:00Z,37834.73148148148,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T13:00:00Z,37834.73148148148,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T14:00:00Z,37303.049999999996,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T15:00:00Z,37834.73148148148,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T16:00:00Z,37834.73148148148,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T17:00:00Z,37303.049999999996,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T18:00:00Z,34835.11111111111,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T19:00:00Z,34479.97085889569,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T20:00:00Z,32788.51652298852,2026-08-11,v1
2026-08-12T10:49:44Z,2026-08-12T21:00:00Z,30839.346774193542,2026-08-11,v1
